time,open,high,low,close,vol,date
1597795200000,6.146,6.409,5.4,6.091,1880672.801,2020-08-19
1597881600000,6.092,6.77,6.061,6.175,1595979.893,2020-08-20
1597968000000,6.176,6.27,5.21,5.315,1307457.175,2020-08-21
1598054400000,5.324,6.048,5.106,5.831,1029008.021,2020-08-22
1598140800000,5.829,5.891,5.344,5.678,794637.672,2020-08-23
1598227200000,5.688,6.3,5.535,6.231,937828.1,2020-08-24
1598313600000,6.239,6.57,5.5,5.867,1379764.441,2020-08-25
1598400000000,5.859,6.45,5.823,6.121,1219594.485,2020-08-26
1598486400000,6.121,6.43,5.86,6.093,1294103.666,2020-08-27
1598572800000,6.092,7.112,6.004,6.866,2318789.971,2020-08-28
1598659200000,6.866,7.0,6.466,6.529,970916.603,2020-08-29
1598745600000,6.52,7.415,6.5,7.301,1749192.333,2020-08-30
1598832000000,7.3,7.568,6.907,7.336,1843068.042,2020-08-31
1598918400000,7.336,7.88,7.084,7.104,2063482.572,2020-09-01
1599004800000,7.103,7.2,5.9,6.383,1645387.152,2020-09-02
1599091200000,6.373,6.585,5.028,5.255,1770506.304,2020-09-03
1599177600000,5.256,5.788,4.706,5.332,1518282.101,2020-09-04
1599264000000,5.321,7.0,3.65,4.472,2327734.699,2020-09-05
1599350400000,4.477,5.212,4.1,4.955,1719299.516,2020-09-06
1599436800000,4.951,5.065,4.104,4.644,1166952.755,2020-09-07
1599523200000,4.635,4.715,4.028,4.246,960831.208,2020-09-08
1599609600000,4.248,5.25,4.173,4.994,1371731.473,2020-09-09
1599696000000,5.0,5.87,4.986,5.725,1274741.326,2020-09-10
1599782400000,5.725,5.998,5.357,5.985,1224261.38,2020-09-11
1599868800000,5.985,6.178,5.612,6.131,891986.157,2020-09-12
1599955200000,6.14,6.286,5.06,5.388,1233257.461,2020-09-13
1600041600000,5.38,5.547,5.108,5.188,784157.432,2020-09-14
1600128000000,5.188,5.517,4.444,4.492,1554469.65,2020-09-15
1600214400000,4.493,4.978,4.131,4.794,1940547.341,2020-09-16
1600300800000,4.794,5.039,4.336,4.487,1402164.564,2020-09-17
1600387200000,4.483,4.745,4.333,4.554,1166923.237,2020-09-18
1600473600000,4.558,4.569,4.2,4.299,1077505.673,2020-09-19
1600560000000,4.295,4.548,4.071,4.19,762806.33,2020-09-20
1600646400000,4.186,4.258,3.461,3.618,1979892.817,2020-09-21
